,0,1,2,3
0,[White / ホワイト],242,243,242
1,[Gray / グレー(旧色)],138,146,141
2,[Tan / タン],176,160,111
3,[Light Green /                                                                        ライトグリーン],173,217,168
4,[Maersk Blue /マースクブルー],53,146,195
5,[Pink / ピンク],171,217,255
6,[Nougat / ヌガー],208,145,104
7,[Red / レッド],201,26,9
8,[Blue / ブルー],0,85,191
9,[Yellow / イエロー],242,205,55
10,[Black / ブラック],5,19,29
11,[Dark Gray /ダークグレー(旧色)],109,110,92
12,[Green / グリーン],35,120,65
13,"[Md,Green /ミディアムグリーン]",127,196,117
14,"[Bt,Green /ブライトグリーン]",88,171,65
15,[Dark Orange /ダークオレンジ],169,85,0
16,[Light Violet /ラ イトバイオレット],201,202,226
17,"[Md,Blue /ミディアムブルー]",90,147,219
18,"[Md,Orange /ミディアムオレンジ] ",255,167,11
19,[Orange / オレンジ],254,138,24
20,[Blue-Violet /ブルーバイオレット],104,116,202
21,[Light Turquoise /ライトターコイ ズ],85,165,175
22,[Lime / ライム],187,233,11
23,[Magenta / マゼンタ],144,31,118
24,[Sand Blue /サンドブルー],96,116,161
25,"[Md,Nougat / ミディアムヌガー]",204,112,42
26,[Dark Tan / ダークタン],149,138,115
27,[Dark Blue /ダークブルー],10,52,99
28,[Dark Green /ダークグリーン],24,70,50
29,[Sand Green /サンドグリーン],160,188,172
30,[Dark Red / ダークレッド],114,14,15
31,"[Bt,Lt Orange /ブライトライトオレンジ]",248,187,61
32,[Reddish Brown /ブラウン],88,42,18
33,[Light Bluish Gray /グレー],160,165,169
34,[Dark Bluish Gray/ダークグレー],108,110,104
35,"[Very Lt, Bluish Gray /ベリーライトグレー]",230,227,224
36,"[Bt, Lt Blue /ブライトライトブルー]",159,195,233
37,[Brown / ブラウン(旧色)],88,57,39
38,[Dark Pink /ダークピンク],200,112,160
39,[Bright Pink /ブライトピンク],228,173,200
40,"[Bt,Lt Yellow /ブライトライトイエロー]",255,240,58
41,[Dark Purple /ダークパープル],63,54,145
42,[Light Nougat /ライトヌガー],246,215,179
43,[Dark Brown /ダークブラウン],53,33,0
44,[Light Aqua /ライトアクア],211,242,234
45,"[Md,Lavender /  ミディアムラベンダー]",160,110,185
46,[Lavender /ラベンダー],205,164,222
47,[Coral /コーラル],255,127,80
